NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
"14;border rejection notification;2024-05-14;2024.3783;Germany;Salmonella spp. in frozen and salted poultry breast halves from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
15;information notification for attention;2024-05-14;2024.3782;Latvia;Salmonella Newport (in 1 out of 5 units) in fresh turkey thighs from Poland;poultry meat and poultry meat products;food;not serious;Informing recipient(s);Product (presumably) no longer on the market;Fresh turkey thighs;Salmonella Newport ;Pathogenic micro-organisms;Poland;Latvia;Latvia
"16;border rejection notification;2024-05-14;2024.3781;Germany;Salmonella spp. in frozen and salted poultry breast halves from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"17;border rejection notification;2024-05-14;2024.378;Germany;Salmonella spp. in frozen chicken meat preparation from Brazil ;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"18;border rejection notification;2024-05-14;2024.3779;Germany;Salmonella spp. in frozen and salted poultry breast halves from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"19;border rejection notification;2024-05-14;2024.3778;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"20;border rejection notification;2024-05-14;2024.3777;Germany;Salmonella spp. in frozen and salted poultry breast halves from Brazil ;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"21;information notification for attention;2024-05-13;2024.3768;Belgium;Pesticides residues in leaves of sweet potato from Congo (CD);fruits and vegetables;food;serious;Seizure;No distribution to other member countries;Leaves of sweet potato;imidacloprid  ,omethoate  ;Pesticide residues;Democratic Republic of the Congo;Belgium;Belgium"
22;information notification for attention;2024-05-13;2024.3766;Czech Republic;High lead content in deer sausage from Austria;meat and meat products (other than poultry);food;serious;No stock left;Product (presumably) no longer on the market;Deer sausage;lead  high content;Heavy metals;Austria;Czech Republic;Czech Republic
23;information notification for attention;2024-05-13;2024.3752;Netherlands;Salmonella in chicken meat;poultry meat and poultry meat products;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Kipfilet;Salmonella  ;Pathogenic micro-organisms;Netherlands;Belgium;Netherlands
24;information notification for follow-up;2024-05-10;2024.3744;Spain;Chlorpyrifos in clover seeds from Egypt;feed materials;feed;potential risk;Informing recipient(s);Distribution to other member countries;Clover seed (raw material);chlorpyrifos  unauthorised substance;Pesticide residues;Egypt;Spain;Spain
25;information notification for attention;2024-05-10;2024.3743;Austria;Unauthorised pesticide residue chlorpyrifos-methyl in tomatoes from Turkey;fruits and vegetables;food;potentially serious;No stock left;Product (presumably) no longer on the market;Tomatoes;chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Austria;Austria
26;information notification for attention;2024-05-10;2024.3742;Latvia;Salmonella Infantis (in 4 out of 5 units) in fresh chicken thighs from Poland;poultry meat and poultry meat products;food;not serious;Informing recipient(s);Product (presumably) no longer on the market;Fresh chicken thighs;Salmonella infantis ;Pathogenic micro-organisms;Poland;Latvia;Latvia
27;information notification for attention;2024-05-10;2024.3735;Germany;Chlorpyrifos in dried porcini mushrooms from Serbia;other food product / mixed;food;potential risk;Withdrawal from the market;Distribution restricted to notifying country;Dried porcini mushrooms (Boletus edulis);chlorpyrifos  ;Pesticide residues;Serbia;Germany;Germany
"28;alert notification;2024-05-10;2024.3727;Germany;Leucomalachite green in frozen yellow catfish from Vietnam, via the Netherlands;fish and fish products;food;potentially serious;Recall from consumer;No distribution from notifying country;Yellow Catfish;leucomalachite green prohibited substance;Residues of veterinary medicinal products;Vietnam;Germany;Germany"
29;information notification for attention;2024-05-10;2024.3721;Italy;ostrica concava (Crassotrea gigas) - Presenza di Norovirus;bivalve molluscs and products thereof;food;serious;No action taken;Product (presumably) no longer on the market;Ostrica concava;norovirus  ;Pathogenic micro-organisms;Portugal;Italy;Italy
30;information notification for attention;2024-05-10;2024.3718;Malta;Nicotine exceeding MRL in Grapefruit from Egypt through the Netherlands ;fruits and vegetables;food;not serious;Withdrawal from the market;No distribution from notifying country;Grapefruit;nicotine  ;Pesticide residues;Egypt;Malta;Malta
"31;alert notification;2024-05-08;2024.37;Germany;Listeria monocytogenes in chicken schnitzel from Germany;poultry meat and poultry meat products;food;serious;Recall from consumer;Distribution to other member countries;Hähnchenschnitzel - chicken schnitzel;Listeria monocytogenes ;Pathogenic micro-organisms;Germany;Germany,Luxembourg;Germany"
32;alert notification;2024-05-08;2024.3695;Denmark;Aflatoxin in dates from Pakistan;fruits and vegetables;food;serious;Prohibition to use;No distribution from notifying country;Dates;Aflatoxin  ;Mycotoxins;Pakistan;Denmark;Denmark
"33;border rejection notification;2024-05-08;2024.3686;Malta;Pesticide residues in grape leaves from Egypt;other food product / mixed;food;not serious;Destruction;Product not (yet) placed on the market;Vine leaves;Azoxystrobin  ,acetamiprid  ,bifenthrin  ,boscalid  ,carbendazim  unauthorised substance,chlorfenapyr  unauthorised substance,dimethomorph  ,fludioxonil  ,folpet  ,imidacloprid  ,indoxacarb  ,lambda-cyhalothrin  ,lufenuron  ,tebuconazole  ,thiophanate-methyl  ;Pesticide residues;Egypt;Malta;Malta"
34;alert notification;2024-05-08;2024.3678;Belgium;Mineral Oil Aromatic Hydrocarbons in shea butter from Côte_d'Ivoire;fats and oils;food;potentially serious;Informing authorities;Distribution to other member countries;Shea butter;mineral oil  ;Environmental pollutants;Côte_d'Ivoire;Netherlands;Belgium
35;alert notification;2024-05-08;2024.3672;France;Detection of Listeria monocytogenes in raw milk cheese from Portugal;milk and milk products;food;serious;Withdrawal from the market;No distribution from notifying country;Raw milk cheese;Listeria monocytogenes ;Pathogenic micro-organisms;Portugal;France;France
36;alert notification;2024-05-07;2024.3668;France;Pyrrolizidine alkaloids in ground oregano;herbs and spices;food;serious;Informing authorities;Distribution to other member countries;Ground oregano;pyrrolizidine alkaloids  ;Natural toxins (other);Turkey;France;France
"37;information notification for follow-up;2024-05-07;2024.3667;Denmark;Diflubenzuron in pears from Turkey;fruits and vegetables;food;potentially serious;Withdrawal from the market;Distribution to other member countries;Pear;diflubenzuron  ;Pesticide residues;Turkey;Denmark,Sweden;Denmark"
"38;alert notification;2024-05-07;2024.3661;Netherlands;Exceedance of aflatoxin in pistachios, from Iran;nuts, nut products and seeds;food;serious;Informing recipient(s);Distribution to other member countries;Pistachios;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Iran,Netherlands;Belgium,Curaçao,French Polynesia,Germany,Iraq,Libya,Malta,Netherlands,Norway,Romania,Somalia;Netherlands"
39;information notification for follow-up;2024-05-07;2024.366;Croatia;Plastic particles in the Himalaya rock salt - salt grinder;herbs and spices;food;potential risk;Recall from consumer;No distribution from notifying country;Himalay rock salt;particles plastic ;Foreign bodies;Finland;Croatia;Croatia
"40;alert notification;2024-05-07;2024.3657;Spain;Presencia de melamina en vaso de vajilla infantil procedente de Bangladesh vÃ­a EspaÃ±a//Migration of melamine in children's tableware from Bangladesh vÃ­a Spain;food contact materials;food contact material;serious;Withdrawal from recipient(s);Distribution to other member countries;Vaso de melamina//Melamine cup;melamine  migration;Migration;Bangladesh;French Guiana,Gibraltar,Portugal,Spain;Spain"
41;information notification for attention;2024-05-07;2024.3655;Croatia;Plastic particles in the salt grinder;herbs and spices;food;potential risk;Recall from consumer;Distribution restricted to notifying country;Coarse sea salt;particles plastic ;Foreign bodies;Italy;Croatia;Croatia
"42;alert notification;2024-05-07;2024.3653;Germany;Exceeded glycidol content in Ghee from Egypt;fats and oils;food;serious;Prohibition to trade - sales ban;No distribution from notifying country;Ghee, vegetable butter;3-monochlor-1,2-propanediol (3-MCPD)  ,glycidyl esters  ;Industrial contaminants;Egypt;Germany,Netherlands;Germany"
"43;alert notification;2024-05-07;2024.3651;Denmark;Chlorpyrifos in green beans from Senegal;fruits and vegetables;food;potentially serious;Withdrawal from the market;No distribution from notifying country;Flat beans;chlorpyrifos  ;Pesticide residues;Senegal;Curaçao,Denmark,Netherlands;Denmark"
44;border rejection notification;2024-05-07;2024.3643;Germany;Salmonella Minnesota in frozen chicken meat preparation from Brazil ;poultry meat and poultry meat products;food;serious;Re-dispatch;Product not (yet) placed on the market;Frozen chicken meat preparation;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Germany;Germany
"45;border rejection notification;2024-05-07;2024.3642;Germany;Salmonella spp. in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"46;border rejection notification;2024-05-07;2024.364;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"47;border rejection notification;2024-05-07;2024.3639;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"48;border rejection notification;2024-05-07;2024.3638;Germany;Salmonella spp. in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chickenbreast, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"49;border rejection notification;2024-05-07;2024.3636;Germany;Salmonella spp. in frozen chicken meat preparation from Brazil ;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Frozen chicken breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"50;border rejection notification;2024-05-07;2024.3635;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast halves, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"51;border rejection notification;2024-05-07;2024.3634;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;   Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"52;border rejection notification;2024-05-07;2024.3633;Germany;Salmonella spp. in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast halves, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"53;border rejection notification;2024-05-07;2024.3632;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"54;border rejection notification;2024-05-07;2024.3631;Germany;Salmonella Heidelberg in frozen chicken meat preparation from Brazil ;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Frozen chicken breast halves, salted;Salmonella Heidelberg ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"55;border rejection notification;2024-05-07;2024.363;Germany;Salmonella spp. in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chickenbreast halves, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"56;border rejection notification;2024-05-07;2024.3629;Germany;Salmonella Minnesota in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"57;border rejection notification;2024-05-07;2024.3628;Germany;Salmonella Minnesota in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation, salted;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"58;border rejection notification;2024-05-07;2024.3627;Germany;Salmonella spp. in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chickenbreast halves, salted - frozen;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"59;border rejection notification;2024-05-07;2024.3626;Germany;Salmonella Minnesota in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chickenbreast halves, salted - frozen;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"60;border rejection notification;2024-05-07;2024.3624;Germany;Salmonella Minnesota in chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation, salted;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"61;border rejection notification;2024-05-07;2024.3623;Germany;Salmonella Minnesota in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation, salted;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
"62;information notification for attention;2024-05-07;2024.3616;Germany;Ethylene oxide in food supplements from Germany;dietetic foods, food supplements and fortified foods;food;potentially serious;Withdrawal from recipient(s);Product (presumably) no longer on the market;Food supplements;2-chloroethanol  ;Pesticide residues;Germany;Austria,Germany;Germany"
"63;alert notification;2024-05-07;2024.3611;France;cypermethrin and unauthorised substances nicotine, tetramethrin and propoxur in dried mushrooms from China;fruits and vegetables;food;serious;Withdrawal from the market;Distribution to other member countries;Mushrooms;cypermethrin  ,nicotine  ,propoxur  unauthorised substance,tetramethrin   unauthorised;Pesticide residues;China;Belgium,Luxembourg;France"
64;information notification for follow-up;2024-05-07;2024.361;Germany;Salmonella spp. in organic sunflower cake (animal feed);feed materials;other;potentially serious;Chemical treatment;No distribution from notifying country;Sunflower cake;Salmonella spp - pathogenic micro-organisms;Pathogenic micro-organisms;Romania;Germany;Germany
65;information notification for attention;2024-05-06;2024.3602;Estonia;Unauthorised use of colour E 124 - Ponceau 4R in strawberries in syrup;fruits and vegetables;food;not serious;Withdrawal from recipient(s);No distribution from notifying country;Canned strawberry in light syrup 425ml;Colour E 124 - Ponceau 4R / cochineal red A - unauthorised use - food additives and flavourings;Food additives and flavourings;China;Estonia;Estonia
66;alert notification;2024-05-06;2024.3599;Netherlands;Fenpropathrin in table grapes Mix;fruits and vegetables;food;serious;Recall from consumer;No distribution from notifying country;Table grapes Mix;Fenpropathrin - pesticide residues;Pesticide residues;India;Netherlands;Netherlands
67;information notification for attention;2024-05-06;2024.3598;Czech Republic;Formetanate in fresh cucumbers from Greece via Germany;fruits and vegetables;food;serious;No stock left;Product (presumably) no longer on the market;Cucumber;Formetanate - pesticide residues;Pesticide residues;Greece;Czech Republic;Czech Republic
68;alert notification;2024-05-06;2024.3596;Italy;Salmonella spp. in frozen chicken/turkey kebab from Poland;poultry meat and poultry meat products;food;serious;Return to consignor;No distribution from notifying country;Chicken/turkey kebab;Salmonella infantis ;Pathogenic micro-organisms;Poland;Italy;Italy
"69;information notification for follow-up;2024-05-06;2024.3594;Slovakia;Acetamiprid above MRL in basmati rice from Pakistan;cereals and bakery products;food;potential risk;Informing consignor;Distribution restricted to notifying country;Basmati rice;acetamiprid  ;Pesticide residues;Pakistan;Czech Republic,Slovakia;Slovakia"
70;information notification for follow-up;2024-05-06;2024.3581;Belgium;Salmonella Agona in soybeanmeal from the Netherlands;feed materials;feed;potential risk;Return to consignor;No distribution from notifying country;Soybean meal;Salmonella Agona ;Pathogenic micro-organisms;Netherlands;Belgium;Belgium
"71;alert notification;2024-05-06;2024.3571;Spain;Sulfito sÃ³dico no declarado en nitrificante usado para elaborar varios productos procedentes de EspaÃ±a//  Undeclared sodium sulphite in nitrifying agent used to produce various products from Spain   ;food additives and flavourings;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Aditivos// Additives;sulphite  improperly declared;Allergens;Spain;Portugal,Spain;Spain"
"72;alert notification;2024-05-03;2024.3561;Denmark;Unauthorized substance chlorpyrifos in olive oil from Greece;fats and oils;food;serious;Recall from consumer;No distribution from notifying country;Extra virgin olive oil;chlorpyrifos  unauthorised substance;Pesticide residues;Greece;Denmark,Germany,Norway,Romania;Denmark"
"73;alert notification;2024-05-03;2024.3547;Italy;allergene non dichiarato (lattosio) nella salsa degli spaghetti istantanei dalla Cina via Hong Kong/undeclered allergen(lactose)in sauce of instant noodles from China via Hong Kong;prepared dishes and snacks;food;serious;Official detention;Information on distribution not (yet) available;Spaghetti istantanei/instant noodles;lactose  presence;Allergens;China;Austria,Cyprus,France,Germany,Hungary,Italy,Luxembourg,Poland,Spain;Italy"
"74;border rejection notification;2024-05-03;2024.3546;Germany;Salmonella Newport and Salmonella Minnesota in frozen chicken meat preparation from Brazil;poultry meat and poultry meat products;food;potentially serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - chicken breast, salted;Salmonella Minnesota ,Salmonella Newport ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"75;alert notification;2024-05-03;2024.3545;Austria;HEMP Pebbles for sweet memories - Possible confusion with food ;confectionery;other;serious;Informing authorities;Product traded online;HEMP Pebbles for sweet memories, Strawberry burst;tetrahydrocanabinol (THC)  ;Biological contaminants;Slovenia;Austria;Austria"
"76;alert notification;2024-05-03;2024.3542;Italy;Clostridi produttori di tossina botulinica in Zuppa con farro e verdure - foglia verde/Clostridia producing botulinum toxin in chilled soup  with emmer and vegetables ;soups, broths, sauces and condiments;food;serious;Withdrawal from the market;Information on distribution not (yet) available;Zuppa con farro e verdure;Clostridium botulinum spores ;Pathogenic micro-organisms;Italy;Italy,Malta;Italy"
"77;border rejection notification;2024-05-03;2024.3541;Germany;Salmonella Minnesota in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;potentially serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella Minnesota ;Pathogenic micro-organisms;Brazil;Brazil,Germany;Germany"
78;information notification for attention;2024-05-03;2024.3535;France;Listeria in cheeses;milk and milk products;food;serious;Withdrawal from the market;Distribution to other member countries;Cheeses;Listeria monocytogenes ;Pathogenic micro-organisms;France;Belgium;France
"79;alert notification;2024-05-03;2024.3532;Italy;Mercury above legal limits in frozen shortfin mako shark from Spain;fish and fish products;food;serious;Official detention;No distribution from notifying country;Shortfin mako shark;mercury  ;Heavy metals;Spain;Italy,Spain;Italy"
"80;information notification for attention;2024-05-03;2024.3531;Sweden;Pesticides in red seedless grapes from India;fruits and vegetables;food;serious;Informing consignor;Product (presumably) no longer on the market;Table Grapes;dimethoate  ,methamidophos  unauthorised substance,omethoate  ;Pesticide residues;India;Sweden;Sweden"
"81;information notification for attention;2024-05-03;2024.3528;Austria;Pesticide residues in cardamom from India;herbs and spices;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Cardamom;acetamiprid  ,bifenthrin  ,carbendazim  unauthorised substance,chlorpyrifos  unauthorised substance,fipronil  unauthorised substance,imidacloprid  ,quinalphos  ,tebuconazole  ,thiamethoxam  ;Pesticide residues;India;Austria;Austria"
"82;border rejection notification;2024-05-03;2024.3526;Germany;Aflatoxins in peanuts (in shell) from Egypt;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Peanuts in shell;Aflatoxin  ,Aflatoxin B1  ;Mycotoxins;Egypt;Germany;Germany"
"83;information notification for attention;2024-05-02;2024.3521;Spain;Listeria monocytogenes en salmÃ³n ahu0mado procedente de EspaÃ±a   // Listeria monocytogenes in smoked salmon from Spain ;fish and fish products;food;potentially serious;Withdrawal from the market;Distribution to non-member countries only;Salmón ahumado // Smoked salmon;Listeria monocytogenes ;Pathogenic micro-organisms;Spain;Andorra,Spain;Spain"
"84;alert notification;2024-05-02;2024.3519;Germany;Detection of 3-amino-2-oxazolidinone (AOZ) in white tiger prawns from Vietnam;crustaceans and products thereof;food;serious;Recall from consumer;Distribution to other member countries;White tiger prawns;nitrofuran (metabolite) furazolidone (AOZ) prohibited substance;Residues of veterinary medicinal products;Vietnam;Austria,Germany;Germany"
"85;information notification for attention;2024-05-02;2024.3518;Germany;Tropane alkaloids in infant formula in jars from Germany, produced in Spain;prepared dishes and snacks;food;potential risk;Recall from consumer;Product (presumably) no longer on the market;Infant formula;tropane alkaloids ;Natural toxins (other);Germany;Austria,Bulgaria,Croatia,Germany,Hungary,Romania,Switzerland;Germany"
"86;information notification for follow-up;2024-05-02;2024.3514;Ireland;Exceeding levels Acrylamide in baby food;prepared dishes and snacks;food;not serious;Recall from consumer;Distribution to other member countries;Organic chicken and vegetables infant meal pouch;acrylamide  high level;Industrial contaminants;France;Austria,Czech Republic,Hungary,Ireland,Malta,Northern Ireland;Ireland"
"87;information notification for follow-up;2024-05-02;2024.3512;Estonia;Too high content of trans fatty acid in bakery products from from Russian Federation via Germany;cereals and bakery products;food;not serious;Withdrawal from the market;No distribution from notifying country;Waffle cake;trans fatty acids  too high content;Composition;Russia;Estonia,Germany,Latvia;Estonia"
88;border rejection notification;2024-05-02;2024.3511;Switzerland;Unauthorised substance lambda-cyhalothrine (0.49 mg/kg - ppm) in peppers (Capsicum spp.) from Thailand;fruits and vegetables;food;potential risk;No stock left;Product not (yet) placed on the market;Peppers (other than sweet) (Capsicum spp.);lambda-cyhalothrin  ;Pesticide residues;Thailand;Switzerland;Switzerland
"89;alert notification;2024-05-02;2024.351;Netherlands;Pesticide residues in frozen red peppers from Vietnam;fruits and vegetables;food;serious;Informing recipient(s);Distribution to other member countries;Frozen Red Peppers;chlorfenapyr  ,dimethoate  ,hexaconazole  unauthorised substance,iprovalicarb  unauthorised substance,propiconazole  ;Pesticide residues;Vietnam;Belgium,Finland,Germany,Portugal,Spain;Netherlands"
"90;information notification for attention;2024-05-02;2024.3508;Poland;shigatoxin-producing Escherichia coli (O26; O145 stx1- stx2+ eae+ in 4 out of 5 samples /25g) in chilled beef tartare from Poland;meat and meat products (other than poultry);food;serious;Informing authorities;Distribution to other member countries;Tatar wo?owy;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;Poland;Netherlands,United Kingdom;Poland"
